19.55,120.00,0.00,0.00
19.55,120.00,0.00,0.00
19.55,120.00,0.00,0.00
19.55,120.00,0.00,0.00
19.55,120.00,0.00,0.00
19.55,120.00,0.00,0.00
19.55,120.00,0.00,0.00
40.85,120.00,0.00,0.00
40.84,120.00,0.00,0.00
40.83,120.00,0.01,0.00
40.84,120.00,0.00,0.00
40.85,120.00,0.00,0.00
40.84,120.00,0.00,0.00
29.13,27.65,0.05,0.35
29.19,27.69,0.03,0.25
28.93,27.70,0.07,0.16
29.06,27.63,0.06,0.30
15.03,120.00,0.00,0.00
15.03,120.00,0.00,0.00
15.03,120.00,0.00,0.00
15.03,120.00,0.00,0.00
15.03,120.00,0.00,0.00
38.48,120.00,0.01,0.00
38.52,120.00,0.00,0.00
38.50,120.00,0.01,0.00
38.50,120.00,0.01,0.00
28.21,120.00,1.01,0.00
27.99,120.00,1.19,0.00
27.65,120.00,1.55,0.00
27.11,120.00,1.17,0.00
35.42,44.85,0.24,0.80
35.45,44.76,0.25,0.79
35.40,45.07,0.24,0.15
35.52,44.70,0.37,1.48
35.03,120.00,0.00,0.00
35.03,120.00,0.00,0.00
35.03,120.00,0.00,0.00
35.05,120.00,0.01,0.00
77.64,120.00,0.36,0.00
77.82,120.00,0.42,0.00
77.83,120.00,0.31,0.00
77.78,120.00,0.34,0.00
77.75,120.00,0.21,0.00
77.94,120.00,0.23,0.00
77.79,120.00,0.30,0.00
77.94,120.00,0.38,0.00
77.85,120.00,0.29,0.00
77.73,120.00,0.49,0.00
77.99,120.00,0.38,0.00
78.01,120.00,0.22,0.00 
59.58,120.00,2.68,0.00
59.32,120.00,0.52,0.00
59.00,120.00,1.34,0.00
58.93,120.00,1.54,0.00
44.89,34.33,0.04,0.64
44.93,34.38,0.03,0.01
45.04,34.16,0.01,0.56
45.02,34.36,0.00,0.02
44.92,34.24,0.03,0.27
44.97,33.78,0.02,0.23
44.99,33.71,0.01,0.44
45.02,33.80,0.00,0.25
44.99,33.71,0.01,0.49
44.99,33.78,0.01,0.26
45.00,33.59,0.01,0.66
45.02,33.67,0.00,0.49
46.20,120.00,0.04,0.00
46.04,120.00,0.01,0.00
46.14,120.00,0.03,0.00
52.46,120.00,0.74,0.00
52.80,120.00,0.16,0.00
52.62,120.00,0.23,0.00
52.38,120.00,0.12,0.00
52.47,120.00,0.12,0.00
52.53,120.00,0.20,0.00
