56.69,88.03,4.38,72.03
60.04,91.31,54.27,19.44
56.36,87.62,14.52,76.64
57.34,89.68,4.36,60.02
55.99,88.54,7.09,55.03
55.58,82.23,28.32,128.82
58.70,89.92,11.86,46.58
57.13,89.70,22.55,12.58
59.95,76.16,16.18,110.12
59.69,84.62,11.02,13.17
62.07,75.50,32.54,131.07
65.94,83.30,62.31,39.75
59.57,84.89,16.46,11.29
63.76,85.89,60.94,21.29
56.21,86.26,41.86,65.42
57.44,86.47,2.24,4.97
55.52,86.39,3.92,5.57
54.24,82.27,3.39,8.30
57.10,82.25,5.89,11.25
57.40,83.93,3.73,4.05
56.11,85.40,0.11,0.61
58.53,85.42,12.45,0.52
58.55,86.10,13.71,10.84
57.47,87.17,3.53,2.50
56.16,86.25,0.60,3.35
56.46,84.79,0.25,0.50
56.31,84.66,0.32,1.13
58.68,85.02,33.11,1.26
55.75,84.59,0.84,0.41
54.86,84.42,2.89,1.36
56.47,84.68,4.04,2.53
56.01,84.25,0.19,9.47
56.02,85.61,0.91,2.78
57.41,84.86,7.34,3.86
55.14,76.62,6.32,118.13
55.89,86.69,0.77,71.12
57.70,88.12,13.44,2.04
58.49,86.76,116.69,3.31
56.93,86.94,7.95,4.90
56.11,78.55,1.06,141.92
56.01,83.46,0.09,68.23
59.63,86.52,120.76,4.18
55.83,86.63,40.54,2.30
57.71,86.64,59.74,3.17
55.62,86.45,64.33,2.25
56.35,86.47,63.94,2.28
55.86,86.94,50.24,3.57
60.61,86.45,123.05,34.32
55.40,76.20,12.36,43.11
53.46,80.50,17.31,3.66
54.86,78.17,13.87,1.70
57.85,73.19,28.71,133.09
61.99,85.38,9.48,29.19
63.66,81.52,7.42,79.08
58.34,78.96,14.09,200.10
60.16,82.16,21.53,44.66
