58.90,40.56,9.14,12.56
58.51,44.90,0.93,10.93
58.32,41.62,1.96,2.65
57.96,42.34,1.82,18.64
57.84,43.19,1.01,5.54
59.23,57.04,19.91,920.84
55.01,59.13,5.79,68.01
54.98,61.69,0.19,9.24
53.48,101.99,4.50,701.62
55.20,78.91,13.37,1166.62
57.53,62.56,0.87,13.44
58.78,55.58,0.32,389.09
58.75,58.95,0.36,4.82
59.07,60.62,0.23,11.39
58.94,89.51,0.53,809.97
58.42,65.39,2.97,6.73
57.58,61.61,0.05,10.96
57.32,62.53,0.09,13.17
57.46,63.30,0.10,8.55
58.54,64.61,1.64,6.12
58.59,65.40,1.05,9.50
57.87,65.37,0.04,8.60
58.00,64.41,0.05,6.93
58.39,62.05,0.02,5.63
58.66,60.17,0.24,11.90
62.71,52.71,39.20,57.47
58.86,62.20,0.16,2.67
58.27,65.15,0.14,4.49
58.17,66.58,0.07,7.03
58.29,67.20,0.10,10.32
58.75,67.73,0.08,3.84
58.67,66.50,0.14,11.93
58.57,66.52,0.10,4.15
58.70,69.25,0.06,13.29
58.99,68.89,0.10,7.93
58.98,66.64,0.04,11.08
59.26,70.45,0.23,2.70
59.66,71.02,0.15,4.49
59.57,70.50,0.12,5.29
59.62,69.90,0.05,17.75
59.76,62.81,0.31,11.96
59.84,63.29,0.11,14.30
59.98,67.60,0.08,5.01
60.04,69.87,0.17,9.06
60.19,67.63,0.09,22.42
59.93,67.22,0.08,9.59
60.22,71.29,0.09,17.64
60.82,70.33,0.06,10.80
61.14,69.12,0.12,11.05
61.05,68.91,0.14,15.03
61.09,64.03,0.08,5.16
61.18,62.08,0.09,7.88
61.63,65.44,0.22,42.87
62.07,65.35,0.20,18.35
61.26,69.30,1.20,580.56
57.00,58.87,14.06,121.63
54.45,60.32,4.99,19.99
53.09,65.32,7.26,127.44
62.06,108.94,197.05,522.95
